Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",,Grid reference,Latitude,Longitude
Northumbrian Water,MILL FARM COMBINED SEWER OVERFLOW,6NW801016,241/1121,241/1121,,SO on sewer network,NZ1707031805,GB103024077390,Beechburn Beck (Trib of Wear),BEECHBURN BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,24.50,5,2.2,10 (installed pre-2013),98.82%,,,,,,,NZ1707031805,54.681016,-1.736773
Northumbrian Water,MILL INN A SSO SEAHAM PARK,6NW801510,255/1153,255/1153,,SO on sewer network,NZ4088049850,367,Seaton Burn from Source to Tidal Limit,SEATON BURN,,Seaham Hall,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.0,10 (installed pre-2013),99.91%,,,,,,,NZ4088049850,54.841804,-1.364978
Northumbrian Water,MILL LANE CSO,6NW801652,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ3187241798,GB103024077490,Old Durham Beck from Source to Pittington Beck,Sherburnhouse Beck,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.25,3,36.4,10 (installed pre-2013),99.47%,,,,,,,NZ3187241798,54.7701,-1.506119
Northumbrian Water,MILL LANE CSO,6NW801646,256/1063,256/1063,,SO on sewer network,NZ7115019350,GB103025071950,Kilton Beck from Middle Gill Beck to North Sea,SKINNINGROVE BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,79.25,40,38.4,8 (installed 2014),93.38%,,,N/A - Ongoing investigation,N/A - Ongoing investigation,,,NZ7115019350,54.564385,-0.901148
Northumbrian Water,MILL STRAND COMBINED SEWER OVERFLOW,6NW800208,210/1348,210/1348,,SO on sewer network,NT9965052330,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,,Not Applicable,Commissioned in 2021 - full year data expected,10.22,9,9.0,1 (installed 2021),68.07%,Comms failure / issue,Resolved - Dec,,,,,NT9965052330,55.764318,-2.007146
Northumbrian Water,MILLBURNGATE CSO,6NW801266,245/1286,245/1286,,SO on sewer network,NZ2724742573,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,20.25,4,29.1,10 (installed pre-2013),30.68%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ2724742573,54.777336,-1.577933
Northumbrian Water,MILLBURNGATE CSO SOUTH END,6NW800665,245/1286,Permit Anomaly - EO permit 245/1286,To be permitted for storm,Storm discharge at pumping station,NZ5255429206,10,North Sea,Culverted watercourse to North Sea,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.60,2,7.7,10 (installed pre-2013),99.01%,,,,,,,NZ5255429206,54.655219,-1.186943
Northumbrian Water,MILLFIELD CSO,6NW801257,226/1105,226/1105,,SO on sewer network,NZ2627581226,GB103022077052,Blyth from Pont to Tidal Limit,"BLYTH, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,6.50,13,13.8,10 (installed pre-2013),99.97%,,,,,,,NZ2627581226,55.124723,-1.589522
Northumbrian Water,MILLFIELD SPS,6NW800455,210/A/0440,210/A/0440,A1,Storm discharge at pumping station,NT9762051540,3,River Tweed,"TWEED, TRIBUTARY OF",,,Not Applicable,Commissioned in 2019 - full year data expected,27.47,10,19.8,4 (installed 2018),99.96%,,,,,,,NT9762051540,55.757213,-2.03949
Northumbrian Water,MILLHOUSE FARM CSO,6NW800962,244/0917,244/0917,,SO on sewer network,NZ1177043450,GB103024077310,Browney from Source to Pan Burn,STEELEY BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.00,10,7.3,10 (installed pre-2013),81.06%,Comms failure / issue,Resolved - Apr,,,,,NZ1177043450,54.785815,-1.818506
Northumbrian Water,MINDRUM TERRACE CSO,6NW801437,235/1897,235/1897,,SO on sewer network,NZ3499167106,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.75,2,0.9,10 (installed pre-2013),99.99%,,,,,,,NZ3499167106,54.997309,-1.45458
Northumbrian Water,MINI GOLF CSO,6NW800377,235/1797,235/1797,,SO on sewer network,NZ3487573880,GB103022076180,Brierdene Burn from Source to North Sea,NORTH SEA,,Whitley Bay,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,1.0,4 (installed 2018),100%,,,,,,,NZ3487573880,55.058186,-1.455569
Northumbrian Water,MITCHEL TERRACE CSO,6NW801048,235/1822,235/1822,,SO on sewer network,NZ1688252309,GB103023075670,Team from Source to Tyne,KYO BURN (RIVER TEAM),,,Not Applicable,Commissioned pre-2016 - full year data expected,49.00,28,37.6,10 (installed pre-2013),90.90%,,,,,,,NZ1688252309,54.86528,-1.738504
Northumbrian Water,MITCHELL AVENUE SEWAGE PUMPING STAN,6NW800470,221/1075,221/1075,221/1075-01,Storm discharge at pumping station,NU2271032370,GB620301100000,Farne Islands to Newton Haven,NORTH SEA,,Seahouses North,Not Applicable,Commissioned in 2018 - full year data expected,9.50,6,2.5,5 (installed 2017),60.18%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NU2271032370,55.58445,-1.641295
Northumbrian Water,MITRE PLACE CSO,6NW801471,235/1940,235/1940,,SO on sewer network,NZ3554066380,GB510302310200,TYNE,TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.0,10 (installed pre-2013),99.91%,,,,,,,NZ3554066380,54.990746,-1.446088
Northumbrian Water,MOOR LANE SSO,6NW801013,226/0454,226/0454,,SO on sewer network,NZ1503072050,GB103022076860,Pont from Med Burn to Small Burn,PONT,,,Not Applicable,Commissioned pre-2016 - full year data expected,53.75,22,17.5,10 (installed pre-2013),95.99%,,,,,,,NZ1503072050,55.042734,-1.766332
Northumbrian Water,MOOR ROAD SOUTH CSO,6NW801187,235/1959,235/1959,,SO on sewer network,NZ2468067410,GB103023075780,Ouse Burn from Source to Tyne,UNNAMED TRIB OF OUSE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,18.00,6,6.4,10 (installed pre-2013),89.61%,Comms failure / issue,Resolved - Feb,,,,,NZ2468067410,55.000656,-1.615722
Northumbrian Water,MOOR VIEW CSO,6NW800882,232/1016,232/1016,,SO on sewer network,NY7413063810,GB103023075532,South Tyne from Tipalt Burn to Allen,MELKRIDGE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.1,10 (installed pre-2013),99.99%,,,,,,,NY7413063810,54.968234,-2.405619
Northumbrian Water,MOORSHOLM SEWAGE TREATMENT WORKS,6NW800199,25/06/1010,25/06/1010,A2,Inlet SO at WwTW,NZ6904015580,GB103025071920,Kilton Beck from Source to Middle Gill Beck,HAGG BECK (KILTON BECK TRIB),,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,51.7,3 (installed 2019),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ6904015580,54.530803,-0.934657
Northumbrian Water,MOORSIDE CSO DER002,6NW800231,234/1106,234/1106,,SO on sewer network,NZ0902849791,GB103023074790,Derwent from Burnhope Burn to River Tyne,DENE BURN (RIVER DERWENT),,,Not Applicable,Commissioned in 2017 - full year data expected,5.25,5,2.2,5 (installed 2017),99.59%,,,,,,,NZ0902849791,54.842854,-1.860947
Northumbrian Water,MORDON STW,6NW800778,253/0065,Permit Anomaly - STW permit 253/0065,To be permitted for settled storm,Storm tank at WwTW,NZ3282326298,GB103025072391,Skerne form Woodham Burn to Demons Beck,River Skerne,,,Not Applicable,Commissioned in 2020 - full year data expected,125.83,37,35.3,3 (installed 2019),99.99%,,,,,,,NZ3282326298,54.630752,-1.493077
Northumbrian Water,MORPETH CSO D TENTER TERRACE,6NW000008,225/1075,225/1075,,SO on sewer network,NZ2016085840,GB103022077061,Wansbeck from Font to Bothal Burn,WANSBECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,1.7,9 (installed 2013),99.99%,,,,,,,NZ2016085840,55.166468,-1.685083
Northumbrian Water,MORPETH CSO E CASTLE SQUARE,6NW800273,225/F/0525,225/F/0525,,SO on sewer network,NZ2005285840,GB103022077061,Wansbeck from Font to Bothal Burn,WANSBECK,,,Not Applicable,Commissioned in 2021 - full year data expected,4.75,3,3.0,1 (installed 2021),8.73%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ2005285840,55.166473,-1.686778
Northumbrian Water,MORPETH SEWAGE TREATMENT WORKS INLET CSO,6NW800158,225/1036,225/1036,A3,Inlet SO at WwTW,NZ2086686427,GB103022077061,Wansbeck from Font to Bothal Burn,RIVER WANSBECK,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,6.3,3 (installed 2019),100%,,,,,,,NZ2086686427,55.171714,-1.673958
Northumbrian Water,MORPETH SEWAGE TREATMENT WORKS Storm Tank,6NW800204,225/1036,225/1036,A2,Storm tank at WwTW,NZ2086686427,GB103022077061,Wansbeck from Font to Bothal Burn,RIVER WANSBECK,,,Not Applicable,Commissioned in 2020 - full year data expected,68.88,9,21.7,3 (installed 2019),100%,,,,,,,NZ2086686427,55.171714,-1.673958
Northumbrian Water,MOSTYN TERRACE CSO,6NW800971,242/1030,242/1030,,SO on sewer network,NZ1257224018,GB103024072690,Gaunless from Source to Hummer Beck,UNNAMED TRIB RIVER GAUNLESS,,,Not Applicable,Commissioned pre-2016 - full year data expected,6.25,8,3.2,9 (installed 2013),64.20%,Comms failure / issue,Resolved - Nov,,,,,NZ1257224018,54.611169,-1.806865
Northumbrian Water,MOUNT PLEASANT CSO (DER41),6NW801023,244/1020,244/1020,,SO on sewer network,NZ1639647567,GB103024077330,"Smallhope Burn from Source to Browney, Stocke",SMALLHOPE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,33.00,26,22.0,10 (installed pre-2013),99.79%,,,,,,,NZ1639647567,54.822683,-1.746343
Northumbrian Water,MOUNT ROAD CSO BT003,6NW800825,210/1358,210/1358,,SO on sewer network,NT9973552213,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,19.07,36,35.6,10 (installed pre-2013),91.05%,,,,,,,NT9973552213,55.763267,-2.005791
Northumbrian Water,MOUNTFORD ROAD CSO,6NW801377,226/1195,226/1195,,SO on sewer network,NZ3071377117,363,Lysdon burn,UUNAMED TRIB OF LYSDON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,7.75,8,22.3,8 (installed 2014),99.99%,,,,,,,NZ3071377117,55.087547,-1.520374
Northumbrian Water,MURTON COMBINED SEWER OVERFLOW,6NW801499,EPRCB3195RW,EPRCB3195RW,,SO on sewer network,NZ3979646686,GB103025075970,Dalton Beck to North Sea,CULVERTED TRIB OF SEAHAM BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,0.7,10 (installed pre-2013),68.55%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ3979646686,54.81346,-1.38229
Northumbrian Water,MURTON CSO 15,6NW000024,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ3845046638,GB103025075970,Dalton Beck to North Sea,Unnamed watercourse,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.00,11,12.1,10 (installed pre-2013),99.83%,,,,,,,NZ3845046638,54.813133,-1.403239
Northumbrian Water,NAPIER COURT CSO,6NW801119,235/1850,235/1850,,SO on sewer network,NZ2099959802,GB103023075670,Team from Source to Tyne,BLACK BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,12.4,9 (installed 2013),94.37%,,,,,,,NZ2099959802,54.932458,-1.673819
Northumbrian Water,NARROWGATE CSO,6NW800855,EPRAB3090RL,EPRAB3090RL,,SO on sewer network,NU1859313478,GB103022076350,Aln from Edlingham Burn to Tidal Limit,UNNAMED TRIB OF RIVER ALN,,,Not Applicable,Commissioned pre-2016 - full year data expected,23.75,31,31.9,9 (installed 2013),99.99%,,,,,,,NU1859313478,55.414874,-1.707863
Northumbrian Water,NEASHAM EJECTOR STATION SSO,6NW800583,254/E/0204,254/E/0204,,Storm discharge at pumping station,NZ3270010200,GB103025072595,Tees from Skerne to Tidal Limit,TEES,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,24.0,3 (installed 2019),90.90%,,,,,,,NZ3270010200,54.486096,-1.496765
Northumbrian Water,NEASHAM ROAD (Y4) CSO,6NW800345,EPRJB3293DK,EPRJB3293DK,,SO on sewer network,NZ2912514232,GB103025072596,Skerne from Demons Beck to Tees,RIVER SKERNE,,,Not Applicable,Commissioned in 2017 - full year data expected,3.25,7,4.2,5 (installed 2017),99.99%,,,,,,,NZ2912514232,54.522547,-1.551549
Northumbrian Water,NEASHAM ROAD CSO (Y5),6NW801330,EPRMB3892AA,EPRMB3892AA,,SO on sewer network,NZ2912514232,GB103025072596,Skerne from Demons Beck to Tees,RIVER SKERNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,23.25,33,34.7,10 (installed pre-2013),30.32%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ2912514232,54.522547,-1.551549
Northumbrian Water,NEASHAM ROAD PUMPING STATION STRAIT LANE STRAWBERRY COTTAGE,6NW801673,254/1017,Permit Anomaly - EO Permit 254/1017,To be permitted for storm,Storm discharge at pumping station,NZ3133110087,GB103025072595,Tees from Skerne to Tidal Limit,River Tees,,,Not Applicable,Commissioned pre-2016 - full year data expected,13.50,14,21.7,10 (installed pre-2013),96.51%,,,,,,,NZ3133110087,54.485167,-1.517908
Northumbrian Water,NEDDERTON CSO BEDLINGTON,6NW801190,226/1266,226/1266,,SO on sewer network,NZ2497083200,GB103022076230,Sleek Burn / Hepscott Burn Source  to Tidal Limit,GREEN LETCH,,,Not Applicable,Commissioned pre-2016 - full year data expected,21.25,21,16.1,8 (installed 2014),99.65%,,,,,,,NZ2497083200,55.142528,-1.609812
Northumbrian Water,NELSON VILLAGE CSO,6NW801217,226/1235,226/1235,,SO on sewer network,NZ2594278700,GB103022077052,Blyth from Pont to Tidal Limit,THE HORTON BURN (R BLYTH),,,Not Applicable,Commissioned pre-2016 - full year data expected,44.00,12,11.9,10 (installed pre-2013),99.85%,,,,,,,NZ2594278700,55.102042,-1.594973
Northumbrian Water,NENTHEAD STW,6NW800699,232/1097,232/1097,A2,Storm tank at WwTW,NY7768044300,GB103023075420,Nent from Source to South Tyne,RIVER NENT,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.0,2 (installed 2020),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NY7768044300,54.793087,-2.348652
Northumbrian Water,NEPTUNE YARD CSO - NWL name,6NW000042,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ3000765386,8,River Tyne,River Tyne Estuary,,,Not Applicable,EDM to be installed by December 2023,,,,,,,,,,,,NZ3000765386,54.982177,-1.532662
Northumbrian Water,NEST ROAD CSO,6NW801288,235/1203,235/1203,,SO on sewer network,NZ2824063000,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.4,10 (installed pre-2013),99.99%,,,,,,,NZ2824063000,54.96084,-1.560505
Northumbrian Water,NETHERTON CSO,6NW800207,223/0872,223/0872,,SO on sewer network,NT9897807531,GB103022076750,Netherton Burn Catch (trib of Wreigh Burn),NETHERTON BURN,,,Not Applicable,Commissioned in 2018 - full year data expected,10.50,9,10.3,4 (installed 2018),81.74%,Comms failure / issue,Resolved - Mar,,,,,NT9897807531,55.361783,-2.017671
Northumbrian Water,NETHERTON PARK SPS,6NW800526,226/1278,226/1278,A1,Storm discharge at pumping station,NZ2229080390,GB103022077052,Blyth from Pont to Tidal Limit,PEGWHISTLE BURN,,,Not Applicable,Commissioned in 2019 - full year data expected,129.60,13,20.8,4 (installed 2018),99.91%,,,,,,,NZ2229080390,55.117405,-1.652074
Northumbrian Water,NETHERTON SEWAGE TREATMENT WORKS,6NW800808,223/1000,223/1000,223/1000-02,Inlet SO at WwTW,NT9921007480,GB103022076750,Netherton Burn Catch (trib of Wreigh Burn),THE NETHERTON BURN,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.3,3 (installed 2019),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NT9921007480,55.361326,-2.014011
Northumbrian Water,NEW COATHAM CSO REF L73,6NW801605,256/1065,256/1065,,SO on sewer network,NZ5981225474,GB650301500005,Tees Coastal,NORTH SEA,,Redcar Coatham,Not Applicable,Commissioned pre-2016 - full year data expected,6.80,11,18.0,10 (installed pre-2013),98.73%,,,,,,,NZ5981225474,54.620878,-1.075222
Northumbrian Water,NEW HALL FARM CSO,6NW800848,223/0922,223/0922,,SO on sewer network,NU1319300547,GB103022076693,Coquet from Forest Burn to Tidal Limit,UNNAMED TRIB OF RIVER COQUET,,,Not Applicable,Commissioned pre-2016 - full year data expected,96.50,40,48.1,10 (installed pre-2013),98.45%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NU1319300547,55.298855,-1.793763
Northumbrian Water,NEW MARE CLOSE FARM CSO,6NW801348,NPSWQD006839,NPSWQD006839,,SO on sewer network,NZ2924974917,GB103022076190,Seaton Burn from Source to Tidal Limit,SEATON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,94.50,28,36.3,10 (installed pre-2013),99.99%,,,,,,,NZ2924974917,55.067866,-1.543534
Northumbrian Water,NEW MARSKE METHODIST CHURCH LONGBECK,6NW801613,25/06/1018,25/06/1018,,SO on sewer network,NZ6296422768,GB650301500005,Tees Coastal,NORTH SEA,,Marske,Not Applicable,Commissioned pre-2016 - full year data expected,3.67,10,18.7,10 (installed pre-2013),100%,,,,,,,NZ6296422768,54.596181,-1.026995
Northumbrian Water,NEW MOORS SEWAGE TREATMENT WORKS,6NW800734,242/A/0706,242/A/0706,A2,Storm tank at WwTW,NZ1694824152,GB103024072680,Hummer Beck from Source to Gaunless,HUMMER BECK,,,Not Applicable,Commissioned in 2019 - full year data expected,78.19,88,86.3,3 (installed 2019),100%,,,N/A - Ongoing investigation,Scheduled,,,NZ1694824152,54.612246,-1.739105
Northumbrian Water,NEW QUAY CSO NC058,6NW801479,235/1903,235/1903,,SO on sewer network,NZ3566367900,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,32.00,21,27.5,10 (installed pre-2013),99.97%,,,,,,,NZ3566367900,55.004396,-1.443977
Northumbrian Water,NEW ROAD CSO,6NW801466,235/1572,235/1572,,SO on sewer network,NZ3543562358,GB103023075690,Don from Source to Tidal Limit,DON,,,Not Applicable,Commissioned pre-2016 - full year data expected,42.50,19,23.1,10 (installed pre-2013),79.82%,Sensor failure / issue,Resolved - Mar,,,,,NZ3543562358,54.954613,-1.448225
Northumbrian Water,NEW ROAD CSO,6NW801565,25/04/1711,25/04/1711,,SO on sewer network,NZ4614021420,10,Billingham Beck,MILL RACE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.75,2,1.2,10 (installed pre-2013),99.85%,,,,,,,NZ4614021420,54.58588,-1.287572
Northumbrian Water,NEW WELBECK ROAD PUMPING STATION,6NW801347,235/1755,235/1755,235/1755-01,Storm discharge at pumping station,NZ2984264771,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,99.25,27,56.9,10 (installed pre-2013),74.31%,Comms failure / issue,Resolved - Nov,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ2984264771,54.976661,-1.535304
Northumbrian Water,NEW YORK CSO,6NW801417,235/1901,235/1901,,SO on sewer network,NZ3499167106,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.25,3,7.4,10 (installed pre-2013),99.99%,,,,,,,NZ3499167106,54.997309,-1.45458
Northumbrian Water,NEWBIGGIN SEWAGE TREATMENT WORKS,6NW800172,225/1031,225/1031,A2,Inlet SO at WwTW,NZ3238286215,GB650301500002,Tyne and Wear,NORTH SEA,,Newbiggin North & Newbiggin South,Not Applicable,Commissioned in 2019 - full year data expected,562.07,119,43.7,4 (installed 2018),88.61%,Comms failure / issue,N/A - Ongoing investigation,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3238286215,55.169192,-1.493194
Northumbrian Water,NEWBIGGIN SEWAGE TREATMENT WORKS,6NW800173,225/1031,225/1031,A3,Inlet SO at WwTW,NZ3129786715,GB650301500002,Tyne and Wear,NORTH SEA,,Newbiggin North & Newbiggin South,Not Applicable,Commissioned in 2018 - full year data expected,349.65,75,63.7,4 (installed 2018),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3129786715,55.173754,-1.510171
Northumbrian Water,NEWBIGGIN SSO (WILKIE TERRACE),6NW801650,224/0881,224/0881,,SO on sewer network,NZ3163287760,GB650301500002,Tyne and Wear,NORTH SEA,,,Not Applicable,Commissioned pre-2016 - full year data expected,54.50,7,4.7,10 (installed pre-2013),99.99%,,,,,,,NZ3163287760,55.183123,-1.504796
Northumbrian Water,NEWBROUGH PUMPING STATION,6NW800492,232/0969,232/0969,A,Storm discharge at pumping station,NY8746067440,GB103023075560,Newbrough Burn Catchment (trib of South Tyne),NEWBROUGH BURN (SOUTH TYNE),,,Not Applicable,Commissioned in 2020 - full year data expected,15.89,16,25.3,3 (installed 2019),100%,,,,,,,NY8746067440,55.001371,-2.197568
Northumbrian Water,NEWBURN HAUGH/RIVERSDALE WAY P STN,6NW801069,235/1731,235/1731,235/1731-01,Storm discharge at pumping station,NZ1845963698,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,29.25,7,8.1,10 (installed pre-2013),97.75%,,,,,,,NZ1845963698,54.967568,-1.713208
Northumbrian Water,NEWBURN INDUSTRIAL ESTATE P STN,6NW800514,235/1732,235/1732,235/1732-01,Storm discharge at pumping station,NZ1718064820,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,0.0,3 (installed 2019),99.99%,,,,,,,NZ1718064820,54.977696,-1.733119
Northumbrian Water,NEWBURN PUMPING STATION,6NW800510,233/1163,233/1163,233/1163-01,Storm discharge at pumping station,NZ1663065310,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2020 - full year data expected,10.78,10,15.3,3 (installed 2019),100%,,,,,,,NZ1663065310,54.982117,-1.741684
Northumbrian Water,NEWCASTLE UPON TYNE CSO ST ANNES WHARF,6NW800319,EPRCB3097AS,EPRCB3097AS,,SO on sewer network,NZ2579864070,8,River Tyne,RIVER TYNE (TIDAL),,,Not Applicable,Commissioned in 2019 - full year data expected,202.37,55,76.3,3 (installed 2019),93.25%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ2579864070,54.970586,-1.598545
Northumbrian Water,NEWFIELD FARM CSO (NEW FIELD CSO 1),6NW801106,EPRCB3191WN,EPRCB3191WN,,SO on sewer network,NZ2037433890,GB103024077464,Wear from Gaunless to Browney,SEASONALLY DRY DITCH TO R.WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,2,2.3,10 (installed pre-2013),84.20%,Comms failure / issue,Resolved - Aug,,,,,NZ2037433890,54.699631,-1.685385
Northumbrian Water,NEWFIELD STW,6NW800745,243/1015,243/1015,243/1015-02,Storm tank at WwTW,NZ2004033530,GB103024077464,Wear from Gaunless to Browney,WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,8.34,55,56.0,2 (installed 2020),86.48%,Comms failure / issue,Resolved - Jul,N/A - Ongoing investigation,Scheduled,,,NZ2004033530,54.696409,-1.690593
Northumbrian Water,NEWHOLME C.S.O.,6NW800996,25/02/1103,25/02/1103,,SO on sewer network,NZ1432016920,GB103025072190,Tees from River Greta to River Skerne,UNNAMED TRIB OF TEES,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.4,10 (installed pre-2013),99.99%,,,,,,,NZ1432016920,54.547335,-1.780145
Northumbrian Water,NEWPORT ROAD CSO,6NW800427,254/1863,254/1863,,SO on sewer network,NZ4791719967,GB510302509900,TEES,RIVER TEES ESTUARY,,,Not Applicable,Commissioned in 2019 - full year data expected,14.00,39,34.3,4 (installed 2018),100%,,,,,,,NZ4791719967,54.572658,-1.260315
Northumbrian Water,NEWPORT SEWAGE PUMPING STATION,6NW800642,254/0255,254/0255,254/0255-01,Storm discharge at pumping station,NZ4714020742,10,Billingham Beck,BILLINGHAM BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.7,3 (installed 2019),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NZ4714020742,54.579695,-1.272209
Northumbrian Water,Newton Bewley CSO 1 (Billingham STW),6NW800053,#TBC,Permit Anomaly,,SO on sewer network,NZ4846325841,GB510302509900,Tees water body,Tees Estuary,,,Not Applicable,EDM to be installed by December 2023,,,,,,,,,,,,NZ4846325841,54.62539,-1.250902
Northumbrian Water,Newton Bewley CSO 2 (Billingham STW),6NW800054,#TBC,Permit Anomaly,,SO on sewer network,NZ4846325841,GB510302509900,Tees water body,Tees Estuary,,,Not Applicable,EDM to be installed by December 2023,,,,,,,,,,,,NZ4846325841,54.62539,-1.250902
Northumbrian Water,NEWTON STREET CSO,6NW800293,235/1367,235/1367,,SO on sewer network,NZ2294162719,GB510302310200,TYNE,TYNE,,,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,0.3,4 (installed 2018),100%,,,,,,,NZ2294162719,54.958585,-1.64328
Northumbrian Water,NICKY NACK PUMPING STATION,6NW800535,243/0933,243/0933,243/0933-01,Storm discharge at pumping station,NZ2646036670,GB103024077464,Wear from Gaunless to Browney,NICKY NACK BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,0.91,4,14.0,3 (installed 2019),91.65%,,,,,,,NZ2646036670,54.724331,-1.590703
Northumbrian Water,NIGHTINGALE PLACE CSO,6NW801644,245/1311,245/1311,,SO on sewer network,NZ2075951817,GB103024077590,Twizell Burn from Source to Cong Burn,"STANLEY BURN, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,129.00,43,46.4,10 (installed pre-2013),99.08%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ2075951817,54.860713,-1.678136
